"gene"	"B.cells.memory"	"B.cells.naive"	"Dendritic.cells.activated"	"Dendritic.cells.resting"	"Endothelium"	"Eosinophils"	"Epithelial"	"Fibroblast"	"Macrophages.M0"	"Macrophages.M1"	"Macrophages.M2"	"Mast.cells.activated"	"Mast.cells.resting"	"Monocytes"	"Neutrophils"	"NK.cells.activated"	"NK.cells.resting"	"Plasma.cells"	"T.cells.CD4.memory.activated"	"T.cells.CD4.memory.resting"	"T.cells.CD4.naive"	"T.cells.CD8"	"T.cells.follicular.helper"	"T.cells.gamma.delta"	"T.cells.regulatory..Tregs."
"ABCB4"	4.04046238719876	382.334903117848	4.95344768770881	84.5700762195077	8.09740981632092	10.3397855874406	8.34173198297066	15.7477924825918	5.3870132855512	19.1605583349997	77.5008466470897	23.3460553978376	2.6557617112819	3.08235952950383	8.9510497153313	2.18466167751176	7.63827596199131	3.18153422724243	4.21181404577074	3.58378371090362	2.0270469183559	2.11285550704177	3.48767836231187	6.27137860336857	3.9464160283069
"ABCB9"	10.9253584095764	7.36186247872334	35.5568638760027	91.3627700634992	99.3166716640474	20.2627132216888	70.1564342865725	86.5769769335588	21.8442209567982	20.3078146844775	24.0439379707994	14.7941120451412	36.4410336704376	13.3082717131533	22.8610586785301	9.24242620295407	12.5916690373812	471.266119681126	24.5643690963265	18.3180990713963	14.4446276895524	15.3935461881925	10.0645818409865	13.0565305880071	26.6102055314406
"ACAP1"	234.688845027424	165.076825224462	38.4854150135818	42.9866258153892	92.9330051198296	606.413406668334	51.9816701764669	94.5837472239637	56.0267565622662	23.9379586372323	12.7025694996881	50.9894449467477	78.5953484068844	150.648282188333	502.395971884556	338.226813113968	439.946624231871	24.2837672536982	290.046848835297	766.00251158028	909.123667451568	968.835131450011	1286.68222570192	242.007263472899	1653.54366491158
"ACP5"	1242.95146119075	401.70838197823	6961.29238986673	12008.1176676353	81.4638425683089	876.160661459651	41.3820146021441	78.0990127413966	7895.23573199387	1110.1488052687	6036.77247075234	268.577295579628	209.794622271827	442.802606815789	227.639561862425	188.903052279593	283.926378848338	916.301787620325	197.795514367744	475.544452602073	446.426683276074	258.852762371076	682.662364796821	410.428074161744	755.559248509486
"ADAM28"	719.113165508121	1152.69675362824	20.6068280785673	24.3996841009224	6.19686024380106	449.498926043516	6.54771410304751	5.9683835918502	125.084997009297	225.455055798963	313.344126968329	84.5380733516384	102.361733648977	43.7852269945737	102.319619853518	65.4485425869313	149.625129458339	244.514189612992	8.49381003958506	12.4585857036405	13.0187340420242	13.6139708124731	13.2851918074784	15.8824747941252	54.1292305332914
"ADAMTS3"	83.3191299736092	110.936913621559	31.0696265303514	32.3429560567336	6.12095799865817	75.2022885013429	14.7878507986966	2.99697883709378	35.7466901418315	24.5727227024831	19.08006059638	346.437283750812	610.231998736872	34.7495716214165	98.6954598875643	33.9231809996492	19.644613582364	54.6448838223605	36.6438139880854	40.1427761785662	8.71638171486643	28.2867320882133	27.4669685947509	42.5125694449112	51.9770544460995
"ADRB2"	350.303612798121	329.177163113553	108.311075232261	133.664133869282	167.391280858874	2353.12189876653	203.216211645826	66.706179593824	244.81115828739	873.346798115469	315.243095366704	3047.22538240234	4783.29839029645	623.408998792782	556.174821495234	2114.11399078342	1868.20327243897	221.248404230262	101.628218313028	523.765834780115	145.103417636081	809.89174688203	104.433265825336	2468.32468568226	162.496389447308
"AIF1"	9.82329582509949	11.4925719942786	798.707356830548	3725.41838818954	166.581505500244	35.4745379646483	104.085938186894	209.925776392203	2174.35583737713	1835.56053854606	7961.33931611601	1727.12113784984	1980.3354468557	9957.09238462366	12023.2913949591	12.9875497547483	78.2945311971324	14.0500448718676	26.9307807824678	22.061277519948	1525.42481918439	674.506622348118	23.2249826528185	1546.50300936714	16.8322034691129
"ALOX5"	1472.65762412026	1072.4049704001	126.688421378486	85.1376654108728	16.4927363202025	1594.4636238071	10.9254146699422	13.0014925353929	1160.40236022405	55.0990890099336	199.456548268071	533.193874296809	604.1142621921	1966.10990080885	4528.35530680864	84.7197816084919	118.690834333604	148.045454080971	41.872141944827	99.0373889557636	169.376315056564	56.6119462544942	26.4457944613096	436.069090822181	106.037845282203
"ANGPT4"	10.0407026442215	11.5007146779481	9.24865789303475	11.1734127576274	45.9954248138749	10.206348909072	30.9348466314757	72.37267723914	21.6075005976876	15.2438905108646	6.59998238017443	21.3324792343846	21.9916172564631	10.5496266300109	21.167576826548	14.9391165869241	4.92808518328811	178.167731702944	69.6844870531099	29.4792372116693	16.0716203541989	31.0430035012222	29.5775480034754	18.0729006408736	17.0381685362383
"APOBEC3G"	710.838552376128	758.621539706712	1271.68156982438	157.451554712237	138.659203550497	234.158259531096	181.947586159617	192.455590647807	1306.12719465567	1083.99295522964	209.534921108714	271.745373607102	586.96959224847	852.088465235377	347.564325015103	7421.0047540041	6020.76358104053	1664.64890880384	1515.11760854351	2102.4205197014	774.490178778949	1947.34055233177	338.347621241849	7026.3304127723	776.74523898346
"APOL3"	364.202856458236	169.897969036758	661.780518668824	171.170681612337	536.845031929569	82.4484241494009	63.6695667692048	147.502910515868	614.970396643266	11335.5282124284	379.203164517527	70.4012080660507	231.280386134267	895.309441758791	82.1862331200618	876.19725846078	1045.37982111539	568.368250857871	998.142373020415	1462.72029492972	866.451010963317	1103.55268243922	422.504797227424	1197.94963535774	787.680484747978
"APOL6"	5.03911184131854	7.68921737953589	51.149308917278	5.39079126582298	48.8735173529192	4.02902035328502	130.235345012567	109.282048634234	533.444869059579	999.557851802272	3.77041534968398	4.44662842894968	14.3591787473497	5.85478847177718	13.5209655872808	316.817711195113	6.84639089327662	4.19828252074369	39.2758645458994	4.63677820714973	4.03231084293281	4.45390016305863	4.57612067531622	6.87443403140237	7.19306625240929
"AQP9"	6.60336351785586	9.83241564231467	6344.30374284359	1101.45342485034	25.6217999207615	97.2380364388185	57.1145379448158	39.3329489497873	6938.68286653544	7037.48358043215	338.217928751602	1912.62179756375	558.947093189648	1900.72907295853	34858.8150822453	6.45753389421706	67.045365203503	8.48355349503851	7.32469300525426	8.42979033958955	18.2098436871621	7.72444175772724	10.638960752834	154.307299683373	43.7543270428641
