"","x"
"296","LAIR2"
"297","LAMP3"
"298","LAT"
"299","LCK"
"300","LEF1"
"301","LHCGR"
"302","LILRA2"
"303","LILRA3"
"304","LILRA4"
"305","LILRB2"
"306","LIME1"
"307","LINC00597"
"308","LRMP"
"309","LST1"
"310","LTA"
"311","LTB"
"312","LTC4S"
"313","LY86"
"314","LY9"
"315","MAGEA11"
"316","MAK"
"317","MAN1A1"
"318","MANEA"
"319","MAP3K13"
"320","MAP4K1"
"321","MAP4K2"
"322","MAP9"
"323","MARCH3"
"324","MARCO"
"325","MAST1"
"326","MBL2"
"327","MEFV"
"328","MEP1A"
"329","MGAM"
"330","MICAL3"
"331","MMP12"
"332","MMP25"
"333","MMP9"
"334","MNDA"
"335","MROH7"
"336","MS4A1"
"337","MS4A2"
"338","MS4A3"
"339","MS4A6A"
"340","MSC"
"341","MXD1"
"342","MYB"
"343","MZB1"
"344","NAALADL1"
"345","NCF2"
"346","NCR3"
"347","NFE2"
"348","NIPSNAP3B"
"349","NKG7"
"350","NLRP3"
"351","NMBR"
"352","NME8"
"353","NOD2"
"354","NOX3"
"355","NPAS1"
"356","NPIPB15"
"357","NPL"
"358","NR4A3"
"359","NTN3"
"360","NTRK1"
"361","ORC1"
"362","OSM"
"363","P2RX1"
"364","P2RX5"
"365","P2RY10"
"366","P2RY13"
"367","P2RY14"
"368","P2RY2"
"369","PADI4"
"370","PAQR5"
"371","PASK"
"372","PAX7"
"373","PBXIP1"
"374","PCDHA5"
"375","PDCD1"
"376","PDCD1LG2"
"377","PDE6C"
"378","PDK1"
"379","PGLYRP1"
"380","PIK3IP1"
"381","PKD2L2"
"382","PLA1A"
"383","PLA2G7"
"384","PLCH2"
"385","PLEKHF1"
"386","PLEKHG3"
"387","PMCH"
"388","PNOC"
"389","PPBP"
"390","PPFIBP1"
"391","PRF1"
"392","PRG2"
"393","PRR5L"
"394","PSG2"
"395","PTGDR"
"396","PTGER2"
"397","PTGIR"
"398","PTPRCAP"
"399","PTPRG"
"400","PVRIG"
"401","QPCT"
"402","RAB27B"
"403","RALGPS2"
"404","RASA3"
"405","RASGRP2"
"406","RASGRP3"
"407","RASSF4"
"408","RCAN3"
"409","REN"
"410","RENBP"
"411","REPS2"
"412","RGS1"
"413","RGS13"
"414","RNASE2"
"415","RNASE6"
"416","RPL10L"
"417","RRP12"
"418","RRP9"
"419","RSAD2"
"420","RYR1"
"421","S100A12"
"422","S1PR5"
"423","SAMSN1"
"424","SCN9A"
"425","SEC31B"
"426","SELL"
"427","SEPT8"
"428","SERGEF"
"429","SH2D1A"
"430","SIGLEC1"
"431","SIK1"
"432","SIRPG"
"433","SIT1"
"434","SKA1"
"435","SKAP1"
"436","SLAMF1"
"437","SLAMF8"
"438","SLC12A1"
"439","SLC12A8"
"440","SLC15A3"
"441","SLC2A6"
"442","SLC7A10"
"443","SLCO5A1"
"444","SMPD3"
"445","SMPDL3B"
"446","SOCS1"
"447","SP140"
"448","SPAG4"
"449","SPIB"
"450","SPOCK2"
"451","SSX1"
"452","ST3GAL6"
"453","ST6GALNAC4"
"454","ST8SIA1"
"455","STAP1"
"456","STEAP4"
"457","STXBP6"
"458","TBX21"
"459","TCF7"
"460","TCL1A"
"461","TEC"
"462","TEP1"
"463","TGM5"
"464","TLR2"
"465","TLR7"
"466","TLR8"
"467","TMEM156"
"468","TMEM255A"
"469","TNFAIP6"
"470","TNFRSF10C"
"471","TNFRSF11A"
"472","TNFRSF13B"
"473","TNFRSF17"
"474","TNFRSF4"
"475","TNFSF14"
"476","TNIP3"
"477","TPSAB1"
"478","TRAC"
"479","TRAF4"
"480","TRAT1"
"481","TRAV12-2"
"482","TRBC1"
"483","TREM1"
"484","TREM2"
"485","TREML2"
"486","TRIB2"
"487","TRPM4"
"488","TRPM6"
"489","TSHR"
"490","TTC38"
"491","TXK"
"492","TYR"
"493","UBASH3A"
"494","UGT2B17"
"495","UPK3A"
"496","VILL"
"497","VNN1"
"498","VNN2"
"499","VNN3"
"500","VPREB3"
"501","WNT5B"
"502","WNT7A"
"503","ZAP70"
"504","ZBP1"
"505","ZBTB10"
"506","ZBTB32"
"507","ZFP36L2"
"508","ZNF135"
"509","ZNF165"
"510","ZNF204P"
"511","ZNF222"
"512","ZNF286A"
"513","ZNF324"
"514","ZNF442"
"515","PAMR1"
"516","CD248"
"517","ADAMTS2"
"518","DCN"
"519","C1R"
"520","C1S"
"521","THBS2"
"522","LRP1"
"523","FAP"
"524","TTLL7"
"525","ZFP37"
"526","CD93"
"527","VWF"
"528","SELE"
"529","CDH5"
"530","KDR"
"531","KRT19"
"532","CDH1"
"533","EPCAM"
"534","ESRP1"
