"","gene","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y"
"7592","MAPK4",392,56,136,202,139,135,272,1206,538,101,42,51,187,745,263,354,98,848,444,207,283,602,300,144,949,3279,54,122,108,263
"2883","CRIP1",103,372,99,195,19,60,92,127,201,899,164,1352,132,149,47,1805,264,763,97,777,545,697,144,457,210,182,1605,598,110,423
"5523","HEY2",376,417,41,92,374,308,8,422,460,77,130,224,330,62,97,335,51,177,489,334,1977,689,28,531,43,1410,114,811,37,2305
"10316","PRRX2",107,166,82,189,24,116,275,144,242,317,45,900,64,882,63,710,263,496,98,176,98,466,1770,284,262,1908,2095,148,383,97
"8308","MUSTN1",325,147,3,6,582,64,3,96,40,15,22,49,995,1,3,5,4,24,348,157,1413,73,2,2465,33,82,36,80,8,5873
"9089","OLFM4",1125,411,38,643,332,477,668,1126,139,113,34,353,204,458,112,754,109,751,37,114,1425,677,482,66,303,202,785,523,433,254
"10784","RBM24",503,1017,130,24,341,217,63,348,80,54,199,36,211,51,167,14,56,162,858,754,683,239,67,676,230,236,100,113,56,5645
"10842","RCOR2",250,345,221,439,999,923,250,111,175,472,715,1077,180,301,147,375,474,148,550,203,58,151,726,328,294,48,1837,1072,398,196
"4395","FAS",113,339,892,139,131,208,248,101,1552,991,208,223,255,198,947,340,1068,1052,323,481,36,345,1044,147,1159,362,176,442,24,165
"9150","OTOA",130,297,25,1507,476,453,658,539,321,871,258,1161,38,1072,281,491,350,426,243,12,130,699,344,54,602,611,270,1337,191,12
"7921","MIR17HG",584,1304,195,554,1581,1582,638,217,114,112,1145,73,182,291,344,130,238,241,1018,184,392,288,311,115,188,199,511,131,574,461
"5408","HAR1A",154,1162,313,262,143,418,257,1177,663,65,75,22,585,118,506,44,174,653,1862,555,374,350,114,210,806,875,9,22,86,1858
"5780","HSPA4L",259,36,1456,22,111,203,109,163,869,668,838,451,85,2109,491,1408,381,372,70,48,563,293,782,78,193,108,1228,340,98,211
"3917","ENO2",592,882,367,187,214,517,245,610,431,115,151,98,456,464,351,104,473,612,397,516,573,911,576,782,322,1543,238,488,132,815
"9331","PCDH10",569,39,128,150,636,134,312,45,525,206,520,256,238,206,357,123,189,706,811,981,394,141,88,183,389,1828,246,1622,164,2084
"14676","XPNPEP2",44,318,245,230,63,122,422,238,243,2084,193,2024,165,1059,316,518,320,248,11,163,26,382,421,179,456,1059,2106,255,468,53
"3484","DNALI1",435,414,294,573,234,103,632,94,255,383,162,448,57,589,276,223,954,1516,202,229,122,681,849,111,399,2943,607,468,298,294
"4964","GIMAP2",415,137,416,241,817,515,180,434,645,227,1106,840,269,352,244,1292,96,69,526,469,1267,37,334,117,47,176,2043,399,300,892
"6450","KIF25",365,419,196,425,400,681,662,837,469,156,77,720,248,898,327,72,440,739,536,477,19,148,774,157,1882,860,216,1214,431,123
"7155","LOC284454",33,1481,191,37,1151,235,2,283,267,260,2752,62,159,21,377,63,103,37,194,385,359,58,35,244,169,6,164,59,29,5758
"7359","LRRC4B",1097,115,408,282,263,166,493,502,906,158,156,99,127,359,1171,238,234,1906,388,180,626,843,86,24,254,3037,72,339,93,458
"14795","ZBTB7C",1092,83,506,20,106,48,284,840,1097,86,53,589,1077,460,156,855,139,405,238,367,836,469,336,677,114,2760,433,247,333,476
